,Unnamed: 0,Phone_no,Email_Id,Food_Name,Quantity,Payment_Method,Date
0,0.0,9731546820.0,sukumar@gmail.com,tomatoes,2kg,Online,06-06-2024
1,1.0,9731546820.0,sukumar@gmail.com,onions,1kg,Online,06-06-2024
2,2.0,9731546820.0,sukumar@gmail.com,cilantro,bunch,Online,06-06-2024
3,3.0,9731546820.0,sukumar@gmail.com,green beans,500g,Cash on delivery,07-06-2024
4,4.0,8290173456.0,,tissues,box,Cash on delivery,06-06-2024
5,5.0,8290173456.0,,hand sanitizer,1,Cash on delivery,06-06-2024
6,6.0,9482610375.0,,rice,2kg,Cash on delivery,06-06-2024
7,7.0,9482610375.0,,toor dal,1kg,Cash on delivery,06-06-2024
8,8.0,8105234678.0,,whole wheat loaf,1,Cash on delivery,07-06-2024
9,9.0,7193456280.0,,laundry detergent,,,07-06-2024
10,10.0,9056781234.0,,dhaniya powder,1kg,,07-06-2024
11,11.0,9056781234.0,,jeera,500g,,07-06-2024
12,12.0,8721345690.0,,potatoes,2kg,,
13,13.0,8721345690.0,,onions,1kg,,
14,14.0,8721345690.0,,cauliflower,1kg,,
15,15.0,9731546820.0,sukumar@gmail.com,Tomatoes,2kg,Online,06-06-2024
16,16.0,9731546820.0,sukumar@gmail.com,Onions,1kg,Online,06-06-2024
17,17.0,9731546820.0,sukumar@gmail.com,Cilantro,1bunch,Online,06-06-2024
18,18.0,9731546820.0,sukumar@gmail.com,Green Beans,500g,Cash on Delivery,07-06-2024
19,19.0,8290173456.0,,Tissues,1box,Cash on Delivery,06-06-2024
20,20.0,8290173456.0,,Hand Sanitizer,,Cash on Delivery,06-06-2024
21,21.0,9482610375.0,,Rice,2kg,Cash on Delivery,06-06-2024
22,22.0,9482610375.0,,Toor Dal,1kg,Cash on Delivery,06-06-2024
23,23.0,8105234678.0,,Bread,1loaf,Cash on Delivery,07-06-2024
24,24.0,7193456280.0,,Laundry Detergent,,,07-06-2024
25,25.0,9056781234.0,,Dhaniya Powder,1kg,,07-06-2024
26,26.0,9056781234.0,,Jeera,500g,,07-06-2024
27,27.0,8721345690.0,,Potatoes,2kg,,
28,28.0,8721345690.0,,Onions,1kg,,
29,29.0,8721345690.0,,Cauliflower,1kg,,
30,,,subhajoymukherjee2003@gmail.com,potatoes,2kg,,10 Jun 2024
31,,,subhajoymukherjee2003@gmail.com,onions,1kg,,10 Jun 2024
32,,,subhajoymukherjee2003@gmail.com,cauliflower,1kg,,10 Jun 2024
33,,,subhajoymukherjee2003@gmail.com,chips,5 packets,,10 Jun 2024
34,,,subhajoymukherjee2003@gmail.com,cookies,3 packets,,10 Jun 2024
35,,,subhajoymukherjee2003@gmail.com,juice,2L bottle,,10 Jun 2024
36,,,subhajoymukherjee2003@gmail.com,eggs,2 dozen,,10 Jun 2024
37,,,subhajoymukherjee2003@gmail.com,milk,1L carton,,10 Jun 2024
38,,,subhajoymukherjee2003@gmail.com,apples,3kg,,10 Jun 2024
39,,,subhajoymukherjee2003@gmail.com,oranges,2kg,,10 Jun 2024
40,,,subhajoymukherjee2003@gmail.com,bananas,1kg,,10 Jun 2024
41,,,subhajoymukherjee2003@gmail.com,basmati rice,1kg,Netbanking,10 Jun 2024
42,,,subhajoymukherjee2003@gmail.com,urad dal,500g,,10 Jun 2024
43,,,subhajoymukherjee2003@gmail.com,green moong dal,250g,,10 Jun 2024
44,,,subhajoymukherjee2003@gmail.com,tissues,1 box,Cash on delivery,10 Jun 2024
45,,,subhajoymukherjee2003@gmail.com,hand sanitizer,,Cash on delivery,10 Jun 2024
46,,,subhajoymukherjee2003@gmail.com,dishwashing liquid,1 bottle,PhonePe,10 Jun 2024
